Location,Date,GDD
Valladolid,2024-03-19,657.35
Valladolid,2024-04-24,1058.25
Valladolid,2024-05-15,1302.24
Valladolid,2024-05-29,1489.18
Valladolid,2024-06-12,1735.46
Aranjuez,2024-04-22,1496.85
Aranjuez,2024-05-14,1819.82
